SystemType,EFCode,Language,HelpFile
5360,6,"DE","FIS4915984.chm"
5360,6,"EN","FIS4021416.chm"
5360,6,"ES","FIS4018058.chm"
5360,6,"FR","FIS3667172.chm"
5360,6,"IT","FIS4915985.chm"
5360,6,"JA","FIS4960378.chm"
5360,6,"KO","FIS4960467.chm"
5360,6,"PT","FIS3653269.chm"
5360,6,"RU","FIS4960574.chm"
5360,6,"TR","FIS4915923.chm"
5360,6,"ZH","FIS3667186.chm"
5400,19,"EN","FIS3666113.chm"
5400,19,"ES","FIS4018013.chm"
5400,19,"FR","FIS3666763.chm"
5400,19,"PT","FIS3653286.chm"
5400,19,"RU","FIS4960596.chm"
5400,19,"ZH","FIS3666339.chm"
5425,19,"EN","FIS3666113.chm"
5425,19,"FR","FIS3666763.chm"
5425,19,"PT","FIS3653286.chm"
5425,19,"ZH","FIS3666339.chm"
5450,19,"EN","FIS3666113.chm"
5450,19,"FR","FIS3666763.chm"
5450,19,"PT","FIS3653286.chm"
5450,19,"ZH","FIS3666339.chm"
5460,5,"EN","FIS4021533.chm"
5460,5,"PT","FIS3653344.chm"
5460,5,"ZH","FIS4960517.chm"
5461,5,"EN","FIS4021533.chm"
5461,5,"PT","FIS3653344.chm"
5461,5,"ZH","FIS4960517.chm"
5462,5,"EN","FIS4021533.chm"
5462,5,"PT","FIS3653344.chm"
5462,5,"ZH","FIS4960517.chm"
5463,5,"EN","FIS4021533.chm"
5463,5,"PT","FIS3653344.chm"
5463,5,"ZH","FIS4960517.chm"
5470,13,"DE","FIS4960412.chm"
5470,13,"EN","FIS4021493.chm"
5470,13,"ES","FIS4018219.chm"
5470,13,"FR","FIS4961028.chm"
5470,13,"IT","FIS4960561.chm"
5470,13,"JA","FIS4960390.chm"
5470,13,"PT","FIS3653274.chm"
5470,13,"RU","FIS4960311.chm"
5470,13,"ZH","FIS4960448.chm"
5480,5,"EN","FIS4021533.chm"
5480,5,"PT","FIS3653344.chm"
5480,5,"ZH","FIS4960517.chm"
5481,5,"EN","FIS4021533.chm"
5481,5,"PT","FIS3653344.chm"
5481,5,"ZH","FIS4960517.chm"
5482,5,"EN","FIS4021533.chm"
5482,5,"PT","FIS3653344.chm"
5482,5,"ZH","FIS4960517.chm"
5490,5,"EN","FIS4021533.chm"
5490,5,"PT","FIS3653344.chm"
5490,5,"ZH","FIS4960517.chm"
5491,5,"EN","FIS4021533.chm"
5491,5,"PT","FIS3653344.chm"
5491,5,"ZH","FIS4960517.chm"
5492,5,"EN","FIS4021533.chm"
5492,5,"PT","FIS3653344.chm"
5492,5,"ZH","FIS4960517.chm"
5500,55,"EN","FIS4021315.chm"
5510,55,"EN","FIS4021315.chm"
5520,55,"EN","FIS4021315.chm"
5530,162,"EN","FIS2883554.chm"
5530,162,"ES","FIS4312413.chm"
5530,162,"FR","FIS4312412.chm"
5600,55,"EN","FIS4021315.chm"
5610,55,"EN","FIS4021315.chm"
5620,55,"EN","FIS4021315.chm"
5700,55,"EN","FIS4021315.chm"
5701,55,"EN","FIS4021315.chm"
5702,55,"EN","FIS4021315.chm"
5710,55,"EN","FIS4021315.chm"
5720,55,"EN","FIS4021315.chm"
5721,55,"EN","FIS4021315.chm"
5722,55,"EN","FIS4021315.chm"
5723,55,"EN","FIS4021315.chm"
5750,6,"DE","FIS4915984.chm"
5750,6,"EN","FIS4021416.chm"
5750,6,"ES","FIS4018058.chm"
5750,6,"FR","FIS3667172.chm"
5750,6,"IT","FIS4915985.chm"
5750,6,"JA","FIS4960378.chm"
5750,6,"KO","FIS4960467.chm"
5750,6,"PT","FIS3653269.chm"
5750,6,"RU","FIS4960574.chm"
5750,6,"TR","FIS4915923.chm"
5750,6,"ZH","FIS3667186.chm"
5800,82,"EN","FIS3666266.chm"
5800,82,"ES","FIS3150948.chm"
5800,82,"JA","FIS4960384.chm"
5800,82,"KO","FIS4960465.chm"
5800,82,"TR","FIS4960304.chm"
5800,82,"ZH","FIS3666591.chm"
5825,82,"EN","FIS3666266.chm"
5825,82,"FR","FIS4312416.chm"
5825,82,"JA","FIS4960384.chm"
5825,82,"KO","FIS4960465.chm"
5825,82,"TR","FIS4960304.chm"
5825,82,"ZH","FIS3666591.chm"
5850,87,"EN","FIS3666214.chm"
5850,87,"ES","FIS4018469.chm"
5850,87,"PT","FIS3653296.chm"
5900,87,"EN","FIS3666214.chm"
5900,87,"ES","FIS4018469.chm"
5900,87,"PT","FIS3653296.chm"
5901,87,"EN","FIS3666214.chm"
5901,87,"ES","FIS4018469.chm"
5901,87,"PT","FIS3653296.chm"
5950,72,"EN","FIS3666259.chm"
5950,72,"ES","FIS3150987.chm"
5950,72,"JA","FIS4960387.chm"
5950,72,"KO","FIS4960464.chm"
5950,72,"RU","FIS4960595.chm"
5950,72,"ZH","FIS3666540.chm"
6000,6,"DE","FIS4915984.chm"
6000,6,"EN","FIS4021416.chm"
6000,6,"ES","FIS4018058.chm"
6000,6,"FR","FIS3667172.chm"
6000,6,"IT","FIS4915985.chm"
